t,tank_level,PUMP1_status,PUMP2_status
0,3.0,OPEN,OPEN
900,2.9595794677734375,OPEN,OPEN
1800,2.91925048828125,OPEN,OPEN
2700,2.8790283203125,OPEN,OPEN
3600,2.8389053344726562,OPEN,OPEN
4500,2.8064117431640625,OPEN,OPEN
5400,2.7739944458007812,OPEN,OPEN
6300,2.741668701171875,OPEN,OPEN
7200,2.70941162109375,OPEN,OPEN
8100,2.6826095581054688,OPEN,OPEN
9000,2.6558837890625,OPEN,OPEN
9900,2.6292190551757812,OPEN,OPEN
10800,2.6026229858398438,OPEN,OPEN
11700,2.6262130737304688,OPEN,OPEN
12600,2.6497421264648438,OPEN,OPEN
13500,2.6732101440429688,OPEN,OPEN
14400,2.6966171264648438,OPEN,OPEN
15300,2.739837646484375,OPEN,OPEN
16200,2.782958984375,OPEN,OPEN
17100,2.8259658813476562,OPEN,OPEN
18000,2.8688735961914062,OPEN,OPEN
18900,2.9224777221679688,OPEN,OPEN
19800,2.9759445190429688,OPEN,OPEN
20700,3.0292892456054688,OPEN,OPEN
21600,3.0824966430664062,OPEN,OPEN
22500,3.1113052368164062,OPEN,OPEN
23400,3.140045166015625,OPEN,OPEN
24300,3.1687164306640625,OPEN,OPEN
25200,3.1973114013671875,OPEN,OPEN
26100,3.23797607421875,OPEN,OPEN
27000,3.2785415649414062,OPEN,OPEN
27900,3.3190078735351562,OPEN,OPEN
28800,3.3593673706054688,OPEN,OPEN
29700,3.4178466796875,OPEN,OPEN
30600,3.476165771484375,OPEN,OPEN
31500,3.5343399047851562,OPEN,OPEN
32400,3.5923690795898438,OPEN,OPEN
33300,3.605010986328125,OPEN,OPEN
34200,3.6176223754882812,OPEN,OPEN
35100,3.6301956176757812,OPEN,OPEN
36000,3.6427383422851562,OPEN,OPEN
36900,3.6265182495117188,OPEN,OPEN
37800,3.6103439331054688,OPEN,OPEN
38700,3.5942001342773438,OPEN,OPEN
39600,3.5781021118164062,OPEN,OPEN
40500,3.6095199584960938,OPEN,OPEN
41400,3.6408538818359375,OPEN,OPEN
42300,3.672119140625,OPEN,OPEN
43200,3.7033004760742188,OPEN,OPEN
44100,3.7404327392578125,OPEN,OPEN
45000,3.7774734497070312,OPEN,OPEN
45900,3.814422607421875,OPEN,OPEN
46800,3.8512725830078125,OPEN,OPEN
47700,3.896820068359375,OPEN,OPEN
48600,3.9422531127929688,OPEN,OPEN
49500,3.9875717163085938,OPEN,OPEN
50400,3.9728317260742188,OPEN,CLOSED
51300,3.9297332763671875,OPEN,CLOSED
52200,3.886688232421875,OPEN,CLOSED
53100,3.8437271118164062,OPEN,CLOSED
54000,3.8008346557617188,OPEN,CLOSED
54900,3.7618484497070312,OPEN,CLOSED
55800,3.7229232788085938,OPEN,CLOSED
56700,3.6840667724609375,OPEN,CLOSED
57600,3.6452713012695312,OPEN,CLOSED
58500,3.596954345703125,OPEN,CLOSED
59400,3.5487136840820312,OPEN,CLOSED
60300,3.50054931640625,OPEN,CLOSED
61200,3.4524688720703125,OPEN,CLOSED
62100,3.34442138671875,OPEN,CLOSED
63000,3.236541748046875,OPEN,CLOSED
63900,3.12884521484375,OPEN,CLOSED
64800,3.0213241577148438,OPEN,CLOSED
65700,2.8890762329101562,OPEN,CLOSED
66600,2.7570343017578125,OPEN,CLOSED
67500,2.625213623046875,OPEN,CLOSED
68400,2.493621826171875,OPEN,CLOSED
69300,2.3686447143554688,OPEN,CLOSED
70200,2.2438735961914062,OPEN,CLOSED
71100,2.1193161010742188,OPEN,CLOSED
72000,1.9949569702148438,OPEN,CLOSED
72900,1.8955535888671875,OPEN,CLOSED
73800,1.7963104248046875,OPEN,CLOSED
74700,1.6972427368164062,OPEN,CLOSED
75600,1.59832763671875,OPEN,CLOSED
76500,1.51513671875,OPEN,CLOSED
77400,1.4320831298828125,OPEN,CLOSED
78300,1.3491668701171875,OPEN,CLOSED
79200,1.266387939453125,OPEN,CLOSED
80100,1.1925888061523438,OPEN,CLOSED
81000,1.1189041137695312,OPEN,CLOSED
81900,1.0453414916992188,OPEN,CLOSED
82800,1.0055770874023438,OPEN,OPEN
83700,1.0153350830078125,OPEN,OPEN
84600,1.0250625610351562,OPEN,OPEN
85500,1.0347747802734375,OPEN,OPEN
86400,1.044464111328125,OPEN,OPEN
