t,tank_level,PUMP1_status,PUMP2_status
0,3.0,CLOSED,OPEN
900,2.9595794677734375,OPEN,OPEN
1800,2.7474212646484375,OPEN,CLOSED
2700,2.6214447021484375,OPEN,CLOSED
3600,2.4956741333007812,OPEN,CLOSED
4500,2.3780746459960938,OPEN,CLOSED
5400,2.26068115234375,OPEN,CLOSED
6300,2.1434707641601562,OPEN,CLOSED
7200,2.0264511108398438,OPEN,CLOSED
8100,1.9151458740234375,OPEN,CLOSED
9000,1.8040237426757812,OPEN,CLOSED
9900,1.693084716796875,OPEN,CLOSED
10800,1.5823287963867188,OPEN,CLOSED
11700,1.5222549438476562,OPEN,CLOSED
12600,1.4622802734375,OPEN,CLOSED
13500,1.4024124145507812,OPEN,CLOSED
14400,1.3426437377929688,OPEN,CLOSED
15300,1.3038101196289062,OPEN,CLOSED
16200,1.2650375366210938,OPEN,CLOSED
17100,1.2263336181640625,OPEN,CLOSED
18000,1.1876907348632812,OPEN,CLOSED
18900,1.1595993041992188,OPEN,CLOSED
19800,1.1315536499023438,OPEN,CLOSED
20700,1.1035537719726562,OPEN,CLOSED
21600,1.0755996704101562,OPEN,CLOSED
22500,1.0228347778320312,OPEN,CLOSED
23400,1.0192642211914062,OPEN,OPEN
24300,1.0532150268554688,OPEN,OPEN
25200,1.0870819091796875,OPEN,OPEN
26100,1.132965087890625,OPEN,OPEN
27000,1.1787338256835938,OPEN,OPEN
27900,1.2243881225585938,OPEN,OPEN
28800,1.2699356079101562,OPEN,OPEN
29700,1.3335800170898438,OPEN,OPEN
30600,1.3970565795898438,OPEN,OPEN
31500,1.4603805541992188,OPEN,OPEN
32400,1.5235443115234375,OPEN,OPEN
33300,1.5414047241210938,OPEN,OPEN
34200,1.5592269897460938,OPEN,OPEN
35100,1.5770034790039062,OPEN,OPEN
36000,1.5947265625,OPEN,OPEN
36900,1.5836715698242188,OPEN,OPEN
37800,1.5726470947265625,OPEN,OPEN
38700,1.5616455078125,OPEN,OPEN
39600,1.5506744384765625,OPEN,OPEN
40500,1.5870895385742188,OPEN,OPEN
41400,1.6234054565429688,OPEN,OPEN
42300,1.6596450805664062,OPEN,OPEN
43200,1.6957855224609375,OPEN,OPEN
44100,1.73785400390625,OPEN,OPEN
45000,1.7798233032226562,OPEN,OPEN
45900,1.821685791015625,OPEN,OPEN
46800,1.8634414672851562,OPEN,OPEN
47700,1.9138565063476562,OPEN,OPEN
48600,1.9641494750976562,OPEN,OPEN
49500,2.0143203735351562,OPEN,OPEN
50400,2.0643692016601562,OPEN,OPEN
51300,2.1089706420898438,OPEN,OPEN
52200,2.1534576416015625,OPEN,OPEN
53100,2.1978302001953125,OPEN,OPEN
54000,2.242095947265625,OPEN,OPEN
54900,2.2898330688476562,OPEN,OPEN
55800,2.3374404907226562,OPEN,OPEN
56700,2.3849334716796875,OPEN,OPEN
57600,2.43231201171875,OPEN,OPEN
58500,2.4706039428710938,OPEN,OPEN
59400,2.5088043212890625,OPEN,OPEN
60300,2.546905517578125,OPEN,OPEN
61200,2.5849227905273438,OPEN,OPEN
62100,2.5645599365234375,OPEN,OPEN
63000,2.5442428588867188,OPEN,OPEN
63900,2.5239791870117188,OPEN,OPEN
64800,2.5037689208984375,OPEN,OPEN
65700,2.4595947265625,OPEN,OPEN
66600,2.41552734375,OPEN,OPEN
67500,2.3715744018554688,OPEN,OPEN
68400,2.327728271484375,OPEN,OPEN
69300,2.2901535034179688,OPEN,OPEN
70200,2.2526779174804688,OPEN,OPEN
71100,2.2152938842773438,OPEN,OPEN
72000,2.1780014038085938,OPEN,OPEN
72900,2.1663055419921875,OPEN,OPEN
73800,2.154632568359375,OPEN,OPEN
74700,2.1429901123046875,OPEN,OPEN
75600,2.1313858032226562,OPEN,OPEN
76500,2.1347732543945312,OPEN,OPEN
77400,2.1381454467773438,OPEN,OPEN
78300,2.1415176391601562,OPEN,OPEN
79200,2.1448745727539062,OPEN,OPEN
80100,2.1566696166992188,OPEN,OPEN
81000,2.1684417724609375,OPEN,OPEN
81900,2.1801834106445312,OPEN,OPEN
82800,2.1918869018554688,OPEN,OPEN
83700,2.19866943359375,OPEN,OPEN
84600,2.2054290771484375,OPEN,OPEN
85500,2.2121810913085938,OPEN,OPEN
86400,2.2189102172851562,OPEN,OPEN
